Rank,Name,Platform,Year,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Genre_Action,Genre_Adventure,Genre_Fighting,Genre_Misc,Genre_Platform,Genre_Puzzle,Genre_Racing,Genre_Role-Playing,Genre_Shooter,Genre_Simulation,Genre_Sports,Genre_Strategy,popularity
8368,Country Dance: All Stars,X360,2012.0,GameMill Entertainment,0.1333333333333333,0.0,0.0,0.0083333333333333,0.1416666666666667,True,False,False,False,False,False,False,False,False,False,False,False,0.021647869464234238
8369,Garfield: Lasagna World Tour,PS2,2007.0,Blast! Entertainment Ltd,0.0666666666666666,0.05,0.0,0.0166666666666666,0.1416666666666667,True,False,False,False,False,False,False,False,False,False,False,False,0.014295788632862348
8371,Disney's Planes,Wii,2013.0,Disney Interactive Studios,0.0666666666666666,0.0583333333333333,0.0,0.0166666666666666,0.1416666666666667,False,False,False,False,False,False,False,False,False,True,False,False,0.014830737941065904
8372,Bomberman Land,Wii,2007.0,Rising Star Games,0.0916666666666666,0.0166666666666666,0.025,0.0083333333333333,0.1416666666666667,False,False,False,True,False,False,False,False,False,False,False,False,0.0366822514652611
8374,Terminator 3: The Redemption,PS2,2004.0,Atari,0.0666666666666666,0.05,0.0,0.0166666666666666,0.1416666666666667,False,False,False,False,False,False,False,False,True,False,False,False,0.014295788632862348
8375,World Destruction League: Thunder Tanks,PS,2000.0,3DO,0.075,0.05,0.0,0.0083333333333333,0.1416666666666667,True,False,False,False,False,False,False,False,False,False,False,False,0.015463085187880895
8377,Reloaded,PS,1996.0,Gremlin Interactive Ltd,0.075,0.05,0.0,0.0083333333333333,0.1416666666666667,True,False,False,False,False,False,False,False,False,False,False,False,0.015463085187880895
8379,MotoGP 15,PS4,2015.0,Milestone S.r.l.,0.0,0.1,0.025,0.0166666666666666,0.1416666666666667,False,False,False,False,False,False,True,False,False,False,False,False,0.027443762098600017
8380,SSX On Tour,GC,2005.0,Electronic Arts,0.1083333333333333,0.025,0.0,0.0,0.1416666666666667,False,False,False,False,False,False,False,False,False,False,True,False,0.019051739586392197
8381,Hot Wheels: Beat That!,X360,2007.0,Activision,0.125,0.0,0.0,0.0083333333333333,0.1416666666666667,False,False,False,False,False,False,True,False,False,False,False,False,0.02030580087486643
8382,G-Force,X360,2009.0,Disney Interactive Studios,0.0916666666666666,0.0416666666666666,0.0,0.0083333333333333,0.1416666666666667,True,False,False,False,False,False,False,False,False,False,False,False,0.01761227305841295
8383,James Bond 007: Everything or Nothing,GBA,2003.0,Electronic Arts,0.1,0.0333333333333333,0.0,0.0,0.1416666666666667,False,False,False,False,False,False,False,False,True,False,False,False,0.018244620305227943
8385,Shrek Extra Large,GC,2002.0,TDK Mediactive,0.1083333333333333,0.025,0.0,0.0,0.1416666666666667,False,False,False,False,True,False,False,False,False,False,False,False,0.019051739586392197
8387,World Tour Soccer 2006,PS2,2004.0,Sony Computer Entertainment,0.0666666666666666,0.05,0.0,0.0166666666666666,0.1416666666666667,False,False,False,False,False,False,False,False,False,False,True,False,0.014295788632862348
8388,Gunvalkyrie,XB,2002.0,Infogrames,0.1083333333333333,0.0333333333333333,0.0,0.0083333333333333,0.1416666666666667,False,False,False,False,False,False,False,False,True,False,False,False,0.019761460928945023
8389,NickToons: Racing,PS,2001.0,Hasbro Interactive,0.075,0.05,0.0,0.0083333333333333,0.1416666666666667,False,False,False,False,False,False,True,False,False,False,False,False,0.015463085187880895
8390,VR Golf '97,PS,1996.0,Gremlin Interactive Ltd,0.075,0.05,0.0,0.0083333333333333,0.1416666666666667,False,False,False,False,False,False,False,False,False,False,True,False,0.015463085187880895
8391,Michael Jackson: The Experience 3D,3DS,2011.0,Ubisoft,0.1083333333333333,0.025,0.0,0.0083333333333333,0.1416666666666667,False,False,False,True,False,False,False,False,False,False,False,False,0.01922651162074147
8392,State of Emergency,XB,2003.0,Take-Two Interactive,0.1083333333333333,0.0333333333333333,0.0,0.0083333333333333,0.1416666666666667,True,False,False,False,False,False,False,False,False,False,False,False,0.019761460928945023
8394,Off-World Interceptor Extreme,PS,1995.0,Crystal Dynamics,0.075,0.05,0.0,0.0083333333333333,0.1416666666666667,False,False,False,False,False,False,True,False,False,False,False,False,0.015463085187880895
8395,Bakugan Battle Brawlers: Defenders of the Core,Wii,2010.0,Activision,0.125,0.0083333333333333,0.0,0.0083333333333333,0.1416666666666667,True,False,False,False,False,False,False,False,False,False,False,False,0.020840750183069984
8396,Disney Golf,PS2,2002.0,Electronic Arts,0.0583333333333333,0.05,0.0166666666666666,0.0166666666666666,0.1416666666666667,False,False,False,False,False,False,False,False,False,False,True,False,0.02673693759780037
8397,The Naked Brothers Band: The Video Game,PS2,2008.0,THQ,0.0666666666666666,0.05,0.0,0.0166666666666666,0.1416666666666667,False,False,False,True,False,False,False,False,False,False,False,False,0.014295788632862348
8400,Batman Beyond: Return of the Joker,PS,2000.0,Ubisoft,0.075,0.05,0.0,0.0083333333333333,0.1416666666666667,True,False,False,False,False,False,False,False,False,False,False,False,0.015463085187880895
8401,Surf's Up,Wii,2007.0,Ubisoft,0.125,0.0,0.0,0.0083333333333333,0.1416666666666667,False,False,False,False,False,False,False,False,False,False,True,False,0.02030580087486643
8403,Mega Man Network Transmission,GC,2003.0,Capcom,0.1083333333333333,0.025,0.0,0.0,0.1416666666666667,False,False,False,False,True,False,False,False,False,False,False,False,0.019051739586392197
8405,Pursuit Force,PSP,2005.0,Sony Computer Entertainment,0.1166666666666666,0.0083333333333333,0.0,0.0166666666666666,0.1416666666666667,False,False,False,False,False,False,True,False,False,False,False,False,0.019673453628051438
8408,Naval Assault: The Killing Tide,X360,2010.0,505 Games,0.0666666666666666,0.0583333333333333,0.0,0.0166666666666666,0.1416666666666667,False,False,False,False,False,False,False,False,False,True,False,False,0.014830737941065904
8410,RC Revenge Pro,PS2,2000.0,Acclaim Entertainment,0.0666666666666666,0.05,0.0,0.0166666666666666,0.1416666666666667,False,False,False,False,False,False,True,False,False,False,False,False,0.014295788632862348
8411,Valkyria Chronicles,PS4,2016.0,Sega,0.05,0.0333333333333333,0.0416666666666666,0.0166666666666666,0.1416666666666667,False,False,False,False,False,False,False,True,False,False,False,False,0.04499979672348427
8412,Hellboy: The Science of Evil,PS3,2008.0,Konami Digital Entertainment,0.1083333333333333,0.0166666666666666,0.0,0.0166666666666666,0.1416666666666667,True,False,False,False,False,False,False,False,False,False,False,False,0.018866334346887184
8413,Backyard Wrestling: Don't Try This at Home,XB,2003.0,Eidos Interactive,0.1083333333333333,0.0333333333333333,0.0,0.0083333333333333,0.1416666666666667,False,False,True,False,False,False,False,False,False,False,False,False,0.019761460928945023
8414,Zoo Keeper,DS,2004.0,Ignition Entertainment,0.0833333333333333,0.0083333333333333,0.0416666666666666,0.0083333333333333,0.1416666666666667,False,False,False,False,False,True,False,False,False,False,False,False,0.048588451121995564
8415,Gauntlet: Dark Legacy,XB,2002.0,Midway Games,0.1083333333333333,0.0333333333333333,0.0,0.0083333333333333,0.1416666666666667,True,False,False,False,False,False,False,False,False,False,False,False,0.019761460928945023
8416,Toukiden Kiwami,PS4,2015.0,Tecmo Koei,0.0416666666666666,0.0583333333333333,0.0166666666666666,0.0166666666666666,0.1416666666666667,True,False,False,False,False,False,False,False,False,False,False,False,0.024587749727268297
8418,Lost Kingdoms,GC,2002.0,Activision,0.0833333333333333,0.0166666666666666,0.0333333333333333,0.0,0.1416666666666667,False,False,False,False,False,False,False,True,False,False,False,False,0.042057019618696935
8420,Blood Bowl,X360,2009.0,Focus Home Interactive,0.1083333333333333,0.025,0.0,0.0083333333333333,0.1416666666666667,False,False,False,False,False,False,False,False,False,False,True,False,0.01922651162074147
8421,Matchbox Cross Town Heroes,GBA,2002.0,THQ,0.1,0.0333333333333333,0.0,0.0,0.1416666666666667,False,False,False,False,False,False,True,False,False,False,False,False,0.018244620305227943
8422,Wolfenstein 3D,GBA,2002.0,BAM! Entertainment,0.1,0.0333333333333333,0.0,0.0,0.1416666666666667,False,False,False,False,False,False,False,False,True,False,False,False,0.018244620305227943
8424,Learning to Spell,DS,2010.0,505 Games,0.1333333333333333,0.0,0.0,0.0083333333333333,0.1416666666666667,False,False,False,True,False,False,False,False,False,False,False,False,0.021647869464234238
8425,"Go, Diego, Go! Safari Rescue",DS,2007.0,Take-Two Interactive,0.125,0.0083333333333333,0.0,0.0083333333333333,0.1416666666666667,False,True,False,False,False,False,False,False,False,False,False,False,0.020840750183069984
8427,Easy Piano,DS,2009.0,Game Life,0.0333333333333333,0.0916666666666666,0.0,0.0166666666666666,0.1416666666666667,False,False,False,True,False,False,False,False,False,False,False,False,0.011602260816408885
8430,Payday 2,XOne,2015.0,505 Games,0.0666666666666666,0.0583333333333333,0.0,0.0083333333333333,0.1416666666666667,False,False,False,False,False,False,False,False,True,False,False,False,0.014655965906716629
8431,25 to Life,XB,2006.0,Eidos Interactive,0.1,0.0333333333333333,0.0,0.0083333333333333,0.1416666666666667,False,False,False,False,False,False,False,False,True,False,False,False,0.018419392339577217
8433,NASCAR '15,X360,2015.0,Deep Silver,0.125,0.0,0.0,0.0166666666666666,0.1416666666666667,False,False,False,False,False,False,False,False,False,False,True,False,0.02048057290921571
8434,TransFormers Animated: The Game,DS,2008.0,Activision,0.125,0.0083333333333333,0.0,0.0083333333333333,0.1416666666666667,True,False,False,False,False,False,False,False,False,False,False,False,0.020840750183069984
8435,Fracture,PS3,2008.0,LucasArts,0.0916666666666666,0.0333333333333333,0.0,0.0166666666666666,0.1416666666666667,False,False,False,False,False,False,False,False,True,False,False,False,0.01725209578455867
8436,Sega Superstars,PS2,2004.0,Sega,0.0666666666666666,0.05,0.0,0.0166666666666666,0.1416666666666667,False,False,False,True,False,False,False,False,False,False,False,False,0.014295788632862348
